text,label
SEBELUMNYA APP PELANGGAN TERBAKAR AN DI GANTI SEMENTARA DENGA APP PASCABAYAR  PELANGGAN DIJANJIKAN AKAN DI GANTI KE PRABAYAR SPERTI SEULA NAMUN SAMPAI SAAT INI BELUM ADA FOLLOWUP  MOHON BANTUANNYA,-1
Timbul Periksa di isi pulsa tidak bisa,-1
no id tidak bisa diisi,-1
Tombol untuk memasukan Token tidak bisa,-1
MOHON PERIKSA APP PRABAYAR DISPLAY TERTERA GAGAL SISA KWH ccadinsmlapor lagi,-1
jeglak jeglek spido meter TDK nyala,-1
TGL  PELAPORAN PELANGGAN MELALUI Live Chat PLN Mobile DENGAN NOMOR LAPOR G PERIHAL APP BLANK PTL MENYALA PERBAIKAN DILAKUKAN OLEH PETUGAS PLN DENGAN CARA SAMBUNG LANGSUNG MOHON AGAR APP DAPAT DIPASANG SESUAI KETENTUAN,-1
kWh meter fhasa mati  fhase,-1
TERKAIT K TERKAIT NO LAPOR K  DIBANTU KONFIRMASI PELANGGAN TERKAIT PASANG BARU BLM REALISASI DGN NO REG SEMPAT DIJANNJIKAN HARI JUMAT PELANGGAN MENGINGINKAN PEMASANGAN HARI INI STATUS BATAL DIBATALKAN OLEH PELANGGAN NAMUN PELANGGAN TIDAK MEMBATALKAN LAPORAN TSB MOHON KONFIRMASI SEGERA,-1
tidak bisa memasukkan no token,-1
tidak bisa memasukkan no token,-1
MOHON PERIKSA APP DIKARENAKAN DIRAGUKAN BEROPERASINYA KWH DIRASAKAN TIDAK BERKURANG SEJAK TIDAK MENGETAHUI SISA KWH ,-1
PELANGGAN KONFIRMASI KWH METER DIBAWA PETUGAS KARENA GANGGUAN SEJAK TANGGAL DDMMYY MENDAPAT TIDAK BERITA ACARA  PEMBERITAHUAN AKAN TETAPI BELUM ADA PEMASANGAN KEMBALI KONDISI RUMAH DIHUNITIDAK,-1
TERKAIT NO LAPOR K  DIBANTU KONFIRMASI PELANGGAN TERKAIT PASANG BARU BLM REALISASI DGN NO REG SEMPAT DIJANNJIKAN HARI JUMAT PELANGGAN MENGINGINKAN PEMASANGAN HARI INI,-1
mohon dibantu pak saklar MCB KWh meter tidak bisa ON  ketika dinyalakan seperti tidak ada beban atau doll dan kembali ke posisi OFF,-1
tambah daya dari R  ke B  sementara ini masih ttap di posisi R  mohon tanggapannya,-1
MOHON UNTUK DITINDAKLANJUTI PENGAJUAN PROSES GESER APP DIKARENAKAN RENOVASI DENGAN NO KTP PEMILIK  AN WIDJI BAGYO SUSANTO PEMOHON MENGAKU SEBAGAI PEMILIK,-1
meteran listrik tidak bisa di on kan,-1
MOHON TINDAKLANJUT DAN PENYELESAIAN REK FEBRUARI MARET  STAND AKHIR   DATA PADA ACMT  STAN APP  TGL    PLN  TELAH MENJELASKAN SESUAI KETENTUAN NAMUN PELANGGAN BERKEBERATAN,-1
mcb selalu off tidak bisa di nyalakan,-1
slamat pagi dulur ni gaguan kWh muncul priksa GK bisa di isi token pulsa minta bantuan di tunggu ya trm ksh,-1
pemadaman lokal,-1
PELANGGAN SUDAH MENGAJUKAN PERMOHONAN PASANG BARU VIA LOKET PLN BOJONEGORO NAMUN BELUM DAPAT NO REGISTER  KODE BOOKING PENGAJUAN TGL  MARET  CALON PELANGGAN ATAS NAMA NURHAYATI NO KTP ,-1
Isi token tidak bisa masuk,-1
periksa,1
assalammualaikum wr wb mohon maaf saya ingin bertanyaapakah listrik RIMT bisa diubah menjadi RIT dikarenakan setiap diisi token  atau  ribu itu tidak sampai  hari kalo  ribu kalau  ribu tidak sampai  minggu terimkasih wassalammualaikum wr wb,-1
MCB dol,-1
PELANGGAN PENDAFTARAN PD DENGAN NO REG  NAMUN SALAH INPUT NO HP DI PLN MOBILE  PELANGGAN INGIN DI HUB INI  MOHON BANTUNNYAN,-1
ANGKA KEYPAD ENTER TANDA HAPUS PADA APP PRABAYAR TIDAK BERFUNGSI SEJAK TGL  SISA PULSA  KWH  NO METER  ,-1
meteran tidak bisa diiisi token,-1
meteran keluar tulisan PERIKSA tolong kirim kode temper ke nomor wa ,-1
DIBANTU KONFIRMASI PELANGGAN TERKAIT PASANG BARU BLM REALISASI DGN NO REG  PELANGGAN INGIN ADA PENJELASAN TERKAIT KEPASTIAN PEMASANGAN TERSEBUT PELANGGAN PERNAH LAPOR DENGAN NO K  K  STATUS SELESAI PELANGGAN TIDAK KONFIRMASI SD X JAM,-1
DIBANTU KONFIRMASI PELANGGAN TERKAIT PASANG BARU BLM REALISASI DGN NO REG  PELANGGAN INGIN ADA PENJELASAN TERKAIT KEPASTIAN PEMASANGAN TERSEBUT PELANGGAN PERNAH LAPOR DENGAN NO K  STATUS SELESAI PELANGGAN TIDAK KONFIRMASI SD X JAM,-1
tidak berbunyi saat token mau habis,-1
TGL  PELAPORAN PELANGGAN MELALUI CC  DENGAN NOMOR LAPOR G PERIHAL APP TERTERA RUSAK PERBAIKAN DILAKUKAN OLEH PETUGAS PLN DENGAN CARA SAMBUNG LANGSUNG MOHON AGAR APPMCB DAPAT DIPASANG SESUAI KETENTUAN,-1
Sudah beli token listrik tp belom dapet no tokennya,-1
DIBANTU KONFIRMASI PELANGGAN TERKAIT PASANG BARU BLM REALISASI DGN NO REG  PELANGGAN INGIN ADA PENJELASAN TERKAIT KEPASTIAN PEMAANGAN TERSEBUT,-1
TIDAK BISA ENTRY TOKEN DENGAN KETERANGAN       TANPA  KETERANGAN        SISA  TOKEN      KWH   PTL    MENYALA   INFO  NO TOKEN YANG BENAR   ,-1
dear tim PLN mohon dibantu check ketika akan query tagihan idpel tsb tidak muncul seperti capture terlampir,-1
PELANGGAN DENGAN NO METER  APP KETERANGAN GAGAL DAN KESULITAN MEMASUKKAN TOKENPTL MENYALASISA  KWHDENGAN NO TOKEN ,-1
PLNsaya mau tanya listrik pascabayar  mau ganti pulsa yang berdaya  bisa kah,1
sudah  hari sejak pembayaran lunas listrik belum nyala dan belum ada tindakan,-1
Hari senin sy sudah pengaduan mengenai pulsa listrik sy yg gk bisa dmasukkan ko belum ada komfirmasinya ya katanya kl pulsa sdh bisa dmasukkan akan dkabari tp sampai hari ini kamis ko belum ada kabar,-1
LAPORAN BERULANG TERKAIT K  K K K K K K DAN K PERMASALAHAN SEBELUMNYA MOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT,-1
MOHON TINDAK LANJUT DAN PENYELESAIAN  NIK PELANGGAN  AN BUDI DARMAWAN TELAH TERDAFTAR DIGUNAKAN ORANG LAIN SEBAGAI PENERIMA SUBSIDI LISTRIK SESUAI INFO PELANGGAN YBS TIDAK PERNAH MENGGUNAKAN KTP TERSEBUT DAN PELANGGAN MENGINGINKAN UNTUK DICABUT PADA ID PELANGGAN SEBELUMNYA TERKAIT K,-1
memasukan nomor token beberapa kali gagal terus,-1
LAPORAN BERULANG TERKAIT KMOHON TINDAK LANJUT DAN PENYELESAIAN  NIK PELANGGAN  AN BUDI DARMAWAN TELAH TERDAFTAR DIGUNAKAN ORANG LAIN SEBAGAI PENERIMA SUBSIDI LISTRIK SESUAI INFO PELANGGAN YBS TIDAK PERNAH MENGGUNAKAN KTP TERSEBUT DAN PELANGGAN MENGINGINKAN UNTUK DICABUT PADA ID PELANGGAN SEBELUMNYA TERKAIT K INFO DARI PELANGGAN TIDAK MELAKUKAN PEMBATALAN,-1
LAPORAN BERULANG TERKAIT KMOHON TINDAK LANJUT DAN PENYELESAIAN  NIK PELANGGAN  AN BUDI DARMAWAN TELAH TERDAFTAR DIGUNAKAN ORANG LAIN SEBAGAI PENERIMA SUBSIDI LISTRIK SESUAI INFO PELANGGAN YBS TIDAK PERNAH MENGGUNAKAN KTP TERSEBUT DAN PELANGGAN MENGINGINKAN UNTUK DICABUT PADA ID PELANGGAN SEBELUMNYA TERKAIT K INFO DARI PELANGGAN TIDAK MELAKUKAN PEMBATALAN,-1
TERKAIT K  K K K K K DAN K STATUS DIBATALKANMOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN DAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT KEMBALI,-1
LAPORAN BERULANG TERKAIT KMOHON TINDAK LANJUT DAN PENYELESAIAN  NIK PELANGGAN  AN BUDI DARMAWAN TELAH TERDAFTAR DIGUNAKAN ORANG LAIN SEBAGAI PENERIMA SUBSIDI LISTRIK SESUAI INFO PELANGGAN YBS TIDAK PERNAH MENGGUNAKAN KTP TERSEBUT DAN PELANGGAN MENGINGINKAN UNTUK DICABUT PADA ID PELANGGAN SEBELUMNYA TERKAIT K INFO DARI PELANGGAN TIDAK MELAKUKAN PEMBATALAN,-1
tidak bisa isi token kondisi token habis semua metode pembayaran tidak bisa,-1
mengajukan pemindahan kwh karena kabel atas nyangkut di TPQ baru,-1
selatan sdn ngablak ,-1
selatan sdn ngablak ,-1
bulan lebih ndak pernah d cek sama petugasnya,-1
TERKAIT  K MOHON TINDAK LANJUT DAN PENYELESAIAN SEKITAR  MINGGU APP DI SAMBUNG LANGSUNG DIKARENAKAN SEBELUMNYA PENANGANAN PERIHAL APP RUSAK PELANGGAN DIBERIKAN BERITA ACARA NO LG G NO METER    MOHON PENANGANAN SESUAI KETENTUAN PELANGGAN PERNAH LAPOR DENGAN NO K DAN K STATUS BATAL NAMUN BELUM ADA TINDAK LANJUT DAN PENANGANAN DARI PETUGAS MOHON PELANGGAN DI KONFIRMASI PERIHAL TSB,-1
MOHON TINDAK LANJUT DAN PENYELESAIAN SEKITAR  MINGGU APP DI SAMBUNG LANGSUNG DIKARENAKAN SEBELUMNYA PENANGANAN PERIHAL APP RUSAK PELANGGAN DIBERIKAN BERITA ACARA NO LG G NO METER    MOHON PENANGANAN SESUAI KETENTUAN PELANGGAN PERNAH LAPOR DENGAN NO K DAN K,-1
MOHON TINDAK LANJUT DAN PENYELESAIAN SEKITAR  MINGGU APP DI SAMBUNG LANGSUNG DIKARENAKAN SEBELUMNYA PENANGANAN PERIHAL APP RUSAK  PELANGGAN DIBERIKAN BERITA ACARA NO LG G  NO METER    MOHON PENANGANAN SESUAI KETENTUAN PELANGGAN PERNAH LAPOR DENGAN NO K STATUS SELESAI PELANGGAN TIDAK KONFIRMASI sd X JAM,-1
mohon agar bisa diturunkan daya ke  karena merasa keberatan dengan biaya dikarenan dulu waktu pemasangan kurang paham,-1
tiang listrik miring dan berdampak membahayakan karena musim penghujan,-1
listrik padam,-1
ANGKA KEYPAD ANGKA   PADA APP PRABAYAR TIDAK BERFUNGSI SEJAK TANGGAL SISA TOKEN  KWH,-1
KELUHAN BERULANG  K MOHON TINDAK LANJUT DAN PENYELESAIAN SEKITAR  MINGGU APP DI SAMBUNG LANGSUNG DIKARENAKAN SEBELUMNYA PENANGANAN PERIHAL APP RUSAK  PELANGGAN DIBERIKAN BERITA ACARA NO LG G  NO METER    MOHON PENANGANAN SESUAI KETENTUAN,-1
MOHON TINDAK LANJUT DAN PENYELESAIAN SEKITAR  MINGGU APP DI SAMBUNG LANGSUNG DIKARENAKAN SEBELUMNYA PENANGANAN PERIHAL APP RUSAK  PELANGGAN DIBERIKAN BERITA ACARA NO LG G  NO METER    MOHON PENANGANAN SESUAI KETENTUAN,-1
membeli pulsa lewat mandiri mobile tgl  maret tp gagal tidak bisa dimasukkan,-1
lampu berkedip alat elektronik tidak bisa bekerja maksimal ac kulkas kipas angin tidak dingin,-1
TERKAIT K K K K K DAN K STATUS DIBATALKANMOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN DAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT KEMBALI,-1
kwh dulayar muncul tulisan rusak gak bisa di isi pulsa,-1
ketika MCB dimatikan tapi jaringan listrik masih menyala tes pakai tespen nyala  ground juga menyala,1
tidak bisa isi token ct gagal,-1
TERKAIT K STATUS DIBATALKANMOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN TERKAIT K K K DAN K STATUS BATAL SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN DAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT KEMBALI,-1
kabel jaringan warna hitam yg sebelum masuk meteran kondisi mengelupas,-1
padam banyak rumah sudah LEBIH DARI SATU JAM  tolong segera perhatian  perbaikannya  karena mengganggu aktifitas  terima kasih,-1
Meteran warna hijau listrik padam,-1
sudah membayar untuk pemasangan baru dan untuk saat ini listrik belum ada tindakan,-1
sudah membayar untuk pemasangan baru dan untuk saat ini listrik belum ada tindakan,-1
MOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN TERKAIT K K K DAN K STATUS BATAL SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN DAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT KEMBALI,-1
kwh meter berbunyi khawatir ada konslet mohon diperiksa oleh petugas PLN,-1
meteran nyala hijau listrik padam,-1
kabel tarikan utama  kecantol mobil truk saat lewat dan putus,-1
PLN listrik saya  pasca mau ganti ke token bisa apa tidak,1
pak PLN minta infonya mau bayar listrik nomer idpel hilang atau lupa tolong bantuannya atas nama Zulkarnain listrik nya nomer listrik terdekat Siti Aisyah,-1
MOHON BANTUAN LAYANAN GESER APP PELANGGAN MENGHENDAKI GESER APP DENGAN ID PELANGGAN   NO KTP PEMILIK ,-1
MOHON TINDAK LANJUT DAN PEJELASAN PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN TERKAIT K K DAN K STATUS BATAL SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT DAN PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN DAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT KEMBALI,-1
DI WILAYAH TSB PTL SERING PADAM BANYAK RUMAH DALAM  HARI TERAKHIR HAMPIR PADAM PTL TIDAK PADAM,-1
mati lampu tidak hujan tidak angin,-1
TERKAIT NOMOR LAPOR K DAN K KET BATAL PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN HINGGA SAAT INI BELUM ADA YG MENGHUBUNGI,-1
LAPORAN BERULANG TERKAIT NO K PERMASALAHAN SEBELUMNYA TERKAIT NOMOR LAPOR K KET BATAL PELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN  ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN HINGGA SAAT INI BELUM ADA TINDAK LANJUT,-1
TERKAIT NOMOR LAPOR K KET BATALPELANGGAN BERMAKSUD MENGAJUKAN PASANG BARU TARIF SUBSIDI DENGAN NO KTP PEMILIK BANGUNAN   ATAS NAMA BUDI DARMAWAN PEMOHON MENGAKU SEBAGAI PEMILIK PERSIL NAMUN PADA DATA APT TERTERA NO KTP   SUDAH TERDAFTAR SUBSIDI LISTRIK DENGAN ID PEL MILIK ORANG LAIN SESUAI INFO PELANGGAN SUDAH DIKONFIRMASI PETUGAS DAN DIARAHKAN UNTUK DATANG KE KANTOR UNIT PELANGGAN TELAH DATANG KE UNIT TGL  PUKUL  NAMUN PELANGGAN MERASA DIBERATKAN HINGGA SAAT INI BELUM ADA TINDAKLANJUT,-1
mau nanya nmer meter  mau proses tambah daya kok nggak bisa ada kendala apa,-1
pindah meteran,-1
MOHON TINDAK LANJUT DAN PENYELESAIAN  NIK PELANGGAN  AN BUDI DARMAWAN TELAH TERDAFTAR DIGUNAKAN ORANG LAIN SEBAGAI PENERIMA SUBSIDI LISTRIK SESUAI INFO PELANGGAN YBS TIDAK PERNAH MENGGUNAKAN KTP TERSEBUT DAN PELANGGAN MENGINGINKAN UNTUK DICABUT PADA ID PELANGGAN SEBELUMNYA TERKAIT K INFO DARI PELANGGAN TIDAK MELAKUKAN PEMBATALAN K,-1
mat siang dulur mnta bantuan ya ni kWh priksa GK bisa di isi token alarem udah bunyi di tunngu ya trm,-1
